id,name_en,name_he,type,lat,lon,importance,wikidata,description,image_url,source_url
27132996,Eilat,אילת,city,29.5569348,34.9497949,1.0,Q134762,"אֵילַת היא העיר הדרומית ביותר במדינת ישראל. משמשת עיר נמל ותיירות מרכזית. שוכנת בדרום הערבה, שייכת למחוז הדרום, ומתגוררים בה כ-57,800 תושבים. היא העיר היחידה בישראל השוכנת לחופי ים סוף.
העיר נקראת על שם העיר המקראית אֵילַת (גם: אֵילוֹת), הנזכרת מספר פעמים בתנ""ך, לצד העיר עציון גב",https://upload.wikimedia.org/wikipedia/he/thumb/8/82/Eilat_COA.svg/500px-Eilat_COA.svg.png,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9C%D7%AA
29090735,Jerusalem,ירושלים,city,31.7788472,35.2257856,1.0,Q1218,"יְרוּשָׁלַיִם (‏‏Ⓘ‏; בערבית: ‏‏Ⓘ‏, נהגה אל־קֻדְס [משמעות מילולית: הקדושה או מקום הקודש]; או לחלופין أُورُشَلِيم, אוּרֻשַׁלִים) היא בירתה של מדינת ישראל, והעיר הגדולה ביותר בה. היא שוכנת בהרי ירושלים, על קו פרשת המים הארצי של ארץ ישראל, בין הים התיכון וים המלח, ברום ממוצע של 715 מ",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/121086-Jerusalem-Mount-of-Olives_%2826988237083%29.jpg/500px-121086-Jerusalem-Mount-of-Olives_%2826988237083%29.jpg,https://he.wikipedia.org/wiki/%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D
60512868,Caesarea,קיסריה,city,32.5114971,34.9057861,1.0,Q1615560,"קיסריה היא עיר נמל שהוקמה בשנים 25–13 לפנה""ס. העיר הייתה המרכז המנהלי הרומי ביהודה מאז כינון פרובינקיה יודיאה (לאחר הדחת ארכלאוס בשנת 6 לספירה). היא שמרה על מעמד זה ביהודה, ולאחר מכן בפרובינקיה סוריה-פלשתינה עד 390, ולאחריו בפרובינקיה הביזנטית פלשתינה פרימה. העיר נקראה על שם אוגו",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94_%D7%94%D7%A2%D7%AA%D7%99%D7%A7%D7%94.jpg/500px-%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94_%D7%94%D7%A2%D7%AA%D7%99%D7%A7%D7%94.jpg,https://he.wikipedia.org/wiki/%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94
140377675,Nahariyya,נהריה,city,33.006306,35.0945579,1.0,Q167749,"נַהֲרִיָּה (בכתיב ללא ניקוד נכתב נהרייה) היא עיר מרכזית בגליל המערבי שבמחוז הצפון בישראל, והעיר הצפונית ביותר במישור החוף. העיר ממוקמת על חוף הים ועל כביש 4 וכביש 89, בין העיר עכו לבין ראש הנקרה. את העיר חוצה נחל געתון. ייחודה של נהריה הוא בהיותה עיר המשלבת תעשייה, תיירות היסטורי",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Coat_of_arms_of_Nahariya.svg/500px-Coat_of_arms_of_Nahariya.svg.png,https://he.wikipedia.org/wiki/%D7%A0%D7%94%D7%A8%D7%99%D7%94
196303399,Ashdod,אשדוד,city,31.7977314,34.6529922,1.0,Q171639,"אַשְׁדּוֹד היא העיר הגדולה במחוז הדרום, והשמינית באוכלוסייתה בערי מדינת ישראל. נוסדה ב-1956 והוכרזה כעיר ב-1968. העיר שוכנת לחופו של הים התיכון במישור החוף הדרומי, מדרום ליבנה, מצפון לאשקלון וממערב לגן יבנה, בקצה הדרומי של מטרופולין גוש דן. בשטחה זורם נחל לכיש.
אשדוד היא אחת הערי",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Ashdod.svg/500px-Flag_of_Ashdod.svg.png,https://he.wikipedia.org/wiki/%D7%90%D7%A9%D7%93%D7%95%D7%93
196307269,Holon,חולון,city,32.0193121,34.7804076,1.0,Q192213,"חוֹלוֹן היא עיר במחוז תל אביב בישראל, במישור החוף הדרומי. היא גובלת בצפון עם תל אביב, מקוה ישראל ואזור; בדרום עם ראשון לציון; ובמערב עם בת ים.
שטח השיפוט שלה הוא 19,200 דונם ואוכלוסייתה מונה 197,193 תושבים. העיר נוסדה בשנת 1940 כאיחוד של חמש שכונות: גרין, מולדת, אגרובנק, קריית עב",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Coat_of_arms_of_Holon.svg/500px-Coat_of_arms_of_Holon.svg.png,https://he.wikipedia.org/wiki/%D7%97%D7%95%D7%9C%D7%95%D7%9F
196332841,Or Yehuda,אור יהודה,city,32.0270045,34.8629898,1.0,Q950347,"אוֹר יהוּדָה היא עיר במחוז תל אביב בישראל. העיר ממוקמת במגזר המזרחי ביותר של גוש דן. היא מרוחקת כשבעה קילומטרים מתל אביב-יפו וסמוכה לנמל התעופה בן-גוריון.
אור יהודה גובלת במערב בכביש 4 ובשטחים פתוחים שעליהם מוקמת שכונת פארק איילון; במזרח ביהוד-מונוסון; בצפון בכביש 461, צומת השומר",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Or_Yehuda_COA.svg/500px-Or_Yehuda_COA.svg.png,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A8_%D7%99%D7%94%D7%95%D7%93%D7%94
196353200,Rishon LeZion,ראשון לציון,city,31.9635712,34.8101149,1.0,Q201051,"רִאשׁוֹן לְצִיּוֹן היא העיר החמישית בגודלה בישראל. העיר ממוקמת במישור החוף, בין חלקו הדרומי של גוש דן לאזור הצפוני של שפלת יהודה, גובלת עם בת ים בצפון-מערב, חולון בצפון, בית דגן בצפון-מזרח, פלמחים בדרום-מערב, נס ציונה בדרום, צריפין ובאר יעקב במזרח ומשתרעת לאורך הים התיכון ממערב. ",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Rishon_leZion_Coat_of_Arms.svg/500px-Rishon_leZion_Coat_of_Arms.svg.png,https://he.wikipedia.org/wiki/%D7%A8%D7%90%D7%A9%D7%95%D7%9F_%D7%9C%D7%A6%D7%99%D7%95%D7%9F
202433223,Ness Ziona,נס ציונה,city,31.9295577,34.7990609,1.0,Q168162,"נֵס צִיּוֹנָה היא עיר במחוז המרכז בישראל. העיר ממוקמת בין ראשון לציון בצפון לרחובות בדרום. העיר משתרעת על פני כ-16,000 דונם ומתגוררים בה כ-47,000 תושבים (למ""ס). נס ציונה הוקמה בשנת 1883 כמושבה יהודית במסגרת העלייה הראשונה, והוכרזה כעיר בשנת 1992. יש המחשיבים את שנת 1882 כשנת ההקמ",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/PikiWiki_Israel_10180_ness_ziona_municipality.jpg/500px-PikiWiki_Israel_10180_ness_ziona_municipality.jpg,https://he.wikipedia.org/wiki/%D7%A0%D7%A1_%D7%A6%D7%99%D7%95%D7%A0%D7%94
214022033,Nof HaGalil,נוף הגליל,city,32.7023065,35.3183216,1.0,Q167659,"נוֹף הַגָּלִיל (בערבית: نوف هچليل) היא עיר מעורבת בגליל התחתון ובמחוז הצפון בישראל. היא הוכרזה כעיר בשנת 1974, לאחר שהייתה מועצה מקומית החל מ-1963. עד יוני 2019 נקראה העיר בשם נָצְרַת עִלִּית (نتسرات عيليت) – בשל סמיכותה לעיר ההיסטורית נצרת. לפי הלמ""ס נכון לסוף שנת 2022 – כ-52% מ",https://upload.wikimedia.org/wikipedia/commons/8/85/Nof_hagalil_logo_new.jpg,https://he.wikipedia.org/wiki/%D7%A0%D7%95%D7%A3_%D7%94%D7%92%D7%9C%D7%99%D7%9C
